"MARRA053,Riad Enchanté Rooftop,Marrakech,view,""Rooftop calme avec belle vue sur la médina."",medium,1,sunset,""view,relax,cafe"",""Parfait pour photos.""";;;;;;;;;;
"MARRA054,Maison Tiskiwin Terrace,Marrakech,view,""Terrasse panoramique du musée Tiskiwin."",low,0.5,morning,""view,panorama,quiet"",""Prendre boisson fraîche.""";;;;;;;;;;
"MARRA055,Medina Tanneries Viewpoint,Marrakech,photo,""Point de vue sur les tanneries traditionnelles."",free,0.3,morning,""photo,tannery,local"",""Apporter un foulard pour odeur.""";;;;;;;;;;
"MARRA056,Majorelle Street Art Wall,Marrakech,photo,""Mur coloré parfait pour photos près du Jardin Majorelle."",free,0.2,afternoon,""streetart,photo,color"",""Meilleure lumière l’après-midi.""";;;;;;;;;;
"MARRA057,Guéliz Art District,Marrakech,culture,""Quartier moderne plein de galeries d’art."",free,2,afternoon,""art,gallery,modern"",""Explorer à pied.""";;;;;;;;;;
"MARRA058,Carré Eden Mall,Marrakech,shopping,""Centre commercial moderne avec boutiques et restaurants."",medium,2,afternoon,""shopping,modern,mall"",""Bon pour climatisation en été.""";;;;;;;;;;
"MARRA059,PLM Guéliz Building,Marrakech,architecture,""Bâtiment historique art déco de Guéliz."",free,0.5,morning,""architecture,artdeco,history"",""Photo spot discret.""";;;;;;;;;;
"MARRA060,Station de Train ONCF Guéliz,Marrakech,architecture,""Belle gare moderne en marbre et verre."",free,0.5,afternoon,""architecture,modern,travel"",""Spot photo populaire.""";;;;;;;;;;
"MARRA061,Théâtre Royal de Marrakech,Marrakech,culture,""Grand théâtre prestigieux, parfois ouvert aux visites."",low,1,afternoon,""theatre,art,architecture"",""Vérifier horaires.""";;;;;;;;;;
"MARRA062,Ménara Mall,Marrakech,shopping,""Centre commercial moderne proche de l'aérodrome."",medium,2,evening,""shopping,food,mall"",""Fréquenté le week-end.""";;;;;;;;;;
"MARRA063,Food Court Ménara Mall,Marrakech,food,""Espace de restauration variée à prix moyens."",medium,1,evening,""food,family,casual"",""Bon choix pour groupes.""";;;;;;;;;;
"MARRA064,La Perle Sky Lounge,Marrakech,nightlife,""Bar rooftop luxueux avec vue sur la ville."",high,2,night,""rooftop,nightlife,luxury"",""Tenue correcte exigée.""";;;;;;;;;;
"MARRA065,555 Famous Club,Marrakech,nightlife,""Club réputé avec DJs internationaux."",high,3,night,""club,music,party"",""Réserver table avant.""";;;;;;;;;;
"MARRA066,Comptoir Darna,Marrakech,nightlife,""Restaurant et bar animé avec danse orientale."",high,2.5,night,""restaurant,show,party"",""Ambiance festive garantie.""";;;;;;;;;;
"MARRA067,Lotus Club,Marrakech,nightlife,""Dîner-spectacle célèbre avec danseuses."",high,3,night,""show,restaurant,nightlife"",""Ambiance chic.""";;;;;;;;;;
"MARRA068,Hivernage District,Marrakech,nightlife,""Quartier des clubs et hôtels de luxe."",free,2,night,""luxury,nightlife,walk"",""Circulation dense le soir.""";;;;;;;;;;
"MARRA069,Avenue Mohammed VI Walk,Marrakech,walk,""Grande avenue moderne parfaite pour balade."",free,1,evening,""walk,modern,relax"",""Profiter au coucher du soleil.""";;;;;;;;;;
"MARRA070,Mall Al Mazar,Marrakech,shopping,""Grand centre commercial proche d’Agdal."",medium,2,afternoon,""shopping,mall,family"",""Parking facile.""";;;;;;;;;;
"MARRA071,Amelkis Golf Club,Marrakech,sport,""Terrain de golf de luxe face à l’Atlas."",high,4,morning,""golf,luxury,sport"",""Réserver relai.""";;;;;;;;;;
"MARRA072,Atlas Golf Marrakech,Marrakech,sport,""Golf moderne au cœur des palmiers."",high,4,morning,""golf,nature,sport"",""Calme exceptionnel.""";;;;;;;;;;
"MARRA073,Palmeraie Golf Palace,Marrakech,sport,""Golf 27 trous dans la Palmeraie."",high,4,morning,""golf,luxury,nature"",""Parfait pour joueurs expérimentés.""";;;;;;;;;;
"MARRA074,Piscine Majorelle Club,Marrakech,loisirs,""Piscine privée moderne idéale en été."",medium,3,afternoon,""pool,relax,summer"",""Apporter serviette.""";;;;;;;;;;
"MARRA075,Spa Les Bains de Marrakech,Marrakech,spa,""Spa emblématique avec hammam traditionnel."",high,2,afternoon,""spa,relax,hammam"",""Réserver.""";;;;;;;;;;
"MARRA076,Spa Royal Mansour,Marrakech,spa,""L’un des spas les plus luxueux au monde."",very_high,2,afternoon,""spa,luxury,wellness"",""Prix élevé.""";;;;;;;;;;
"MARRA077,Spa Mamounia,Marrakech,spa,""Spa mythique de l’hôtel La Mamounia."",very_high,2,afternoon,""spa,luxury,hammam"",""Expérience premium.""";;;;;;;;;;
"MARRA078,Hammam Ziani,Marrakech,spa,""Hammam populaire à prix accessible."",low,1.5,afternoon,""hammam,local,relax"",""Très fréquenté.""";;;;;;;;;;
"MARRA079,Hammam Mouassine,Marrakech,spa,""Hammam traditionnel dans la médina."",low,1,evening,""hammam,traditional,local"",""Apporter savon noir.""";;;;;;;;;;
"MARRA080,Hammam Dar El Bacha,Marrakech,spa,""Hammam luxueux dans le quartier Dar El Bacha."",medium,1.5,afternoon,""hammam,luxury,relax"",""Réserver en haute saison.""";;;;;;;;;;
"MARRA081,Tanjia Restaurant,Marrakech,food,""Restaurant traditionnel spécialisé en tanjia."",medium,1.5,evening,""food,local,traditional"",""Bonne option pour spécialités.""";;;;;;;;;;
"MARRA082,Al Fassia Restaurant,Marrakech,food,""Restaurant réputé tenu par des femmes."",high,1.5,evening,""food,local,famous"",""Réserver tôt.""";;;;;;;;;;
"MARRA083,Café Clock,Marrakech,food,""Café culturel moderne avec concerts et ateliers."",medium,1.5,evening,""cafe,culture,music"",""Tester le camel burger.""";;;;;;;;;;
"MARRA084,Ksar Essaoussan,Marrakech,food,""Restaurant traditionnel dans un riad élégant."",medium,2,evening,""restaurant,traditional,romantic"",""Ambiance intime.""";;;;;;;;;;
"MARRA085,Entrepotes Guéliz,Marrakech,food,""Restaurant populaire avec fusion marocaine."",medium,1.5,night,""food,casual,modern"",""Très demandé le week-end.""";;;;;;;;;;
"MARRA086,McDonald's Guéliz,Marrakech,food,""Fast-food classique en centre-ville."",low,1,afternoon,""fastfood,casual,quick"",""Toujours du monde.""";;;;;;;;;;
"MARRA087,KFC Marrakech,Marrakech,food,""Fast-food international fréquenté par jeunes."",low,1,afternoon,""fastfood,casual,cheap"",""Attente possible.""";;;;;;;;;;
"MARRA088,Starbucks Guéliz,Marrakech,cafe,""Chaîne internationale avec Wi-Fi."",medium,1,afternoon,""cafe,modern,work"",""Idéal pour travailler.""";;;;;;;;;;
"MARRA089,Paul Bakery Marrakech,Marrakech,cafe,""Boulangerie française haut de gamme."",medium,1,morning,""bakery,cafe,french"",""Très bon petits-déjeuners.""";;;;;;;;;;
"MARRA090,Amoud Pâtisserie,Marrakech,cafe,""Pâtisserie marocaine et française."",low,0.5,morning,""pastry,cafe,sweets"",""Parfait pour petite pause.""";;;;;;;;;;
"MARRA091,French Institute Marrakech,Marrakech,culture,""Institut culturel avec bibliothèque et expositions."",low,1.5,afternoon,""culture,library,art"",""Calme et climatisé.""";;;;;;;;;;
"MARRA092,Cactus Thiemann Farm,Marrakech,nature,""L'une des plus grandes fermes de cactus au monde."",medium,2,morning,""cactus,nature,unique"",""Prendre chapeau et eau.""";;;;;;;;;;
"MARRA093,Oliveraie Park,Marrakech,nature,""Grand parc d'oliviers pour promenade."",free,1.5,afternoon,""nature,park,walk"",""Très agréable en hiver.""";;;;;;;;;;
"MARRA094,Arsat Nakhil Park,Marrakech,nature,""Parc récent avec espaces verts et marche."",free,1,afternoon,""park,nature,family"",""Peu fréquenté = calme.""";;;;;;;;;;
"MARRA095,Arsat Moulay Bouchaib,Marrakech,nature,""Petit jardin local dans la médina."",free,0.5,morning,""garden,local,quiet"",""Court arrêt.""";;;;;;;;;;
"MARRA096,Desert Dinner Agafay,Marrakech,experience,""Dîner spectacle dans le désert d’Agafay."",high,4,sunset,""desert,dinner,show"",""Réserver navette.""";;;;;;;;;;
"MARRA097,Lalla Takerkoust Lake,Marrakech,excursion,""Lac artificiel populaire pour pique-niques."",medium,4,morning,""lake,nature,relax"",""Bon pour barbecue.""";;;;;;;;;;
"MARRA098,Quad Lalla Takerkoust,Marrakech,adventure,""Balade quad autour du lac."",medium,2,afternoon,""quad,adventure,lake"",""Porter lunettes et foulard.""";;;;;;;;;;
"MARRA099,Marrakech Camel Ride,Marrakech,adventure,""Balade en dromadaire dans la palmeraie."",medium,1.5,afternoon,""camel,adventure,palmeraie"",""Bon pour photos.""";;;;;;;;;;
"MARRA100,Bab El Khemis Market,Marrakech,shopping,""Grand marché aux puces de Marrakech, antiquités et meubles."",low,2,morning,""market,antiques,local"",""Meilleur jour : jeudi.""";;;;;;;;;;
