id;name;city;category;description;budget;duration_hours;best_time;tags;tips;
MARRA015;Menara Gardens;Marrakech;nature;Immense bassin reflétant l’Atlas, entouré d’oliviers.;free;1.5;sunset;nature,atlas,walk;Magnifique au coucher du soleil.;
MARRA016;Agdal Gardens;Marrakech;nature;Jardins historiques réservés, ouverts certains jours seulement.;low;2;morning;garden,heritage,quiet;Vérifier les horaires avant d’y aller.;
MARRA017;Musée Dar Si Said;Marrakech;culture;Musée d’arts marocains installé dans un splendide palais.;medium;2;morning;art,history,woodwork;Parfait pour les amateurs d’art.;
MARRA018;Saadian Tombs;Marrakech;histoire;Mausolée royal superbement décoré découvert au XXe siècle.;medium;1;afternoon;tombs,history,saadian;Petite file : éviter midi.;
MARRA019;Bab Agnaou;Marrakech;histoire;Porte monumentale almohade décorée de motifs sculptés.;free;0.5;morning;gate,architecture,history;Arriver tôt pour photos sans foule.;
MARRA020;Bab Doukkala Market;Marrakech;shopping;Marché local de produits frais, épices et artisanat.;low;1.5;morning;market,local,food;Très authentique, peu touristique.;
MARRA021;Riad Yima, Yves Saint Laurent Art Gallery;Marrakech;culture;Galerie d’art moderne créée par Hassan Hajjaj, mélange de pop-art marocain.;medium;1.5;afternoon;art,modern,photo;Parfait pour des photos colorées.;
MARRA022;Maison de la Photographie;Marrakech;culture;Musée exposant des photos anciennes du Maroc, terrasse panoramique.;medium;1.5;afternoon;museum,photo,history;Profiter du rooftop à la fin.;
MARRA023;Musée du Mouassine;Marrakech;culture;Petit musée retraçant l’histoire du quartier Mouassine.;low;1;morning;museum,local,history;Idéal pour une visite rapide.;
MARRA024;Tiskiwin Museum;Marrakech;culture;Musée dédié aux arts sahariens et berbères.;medium;1.5;morning;berber,art,history;Peu fréquenté, très calme.;
MARRA025;Musée Boucharouite;Marrakech;culture;Musée consacré aux tapis boucharouite fait main.;low;1;afternoon;carpet,art,traditional;Petit mais charmant.;
MARRA026;Kasbah Mosque;Marrakech;religion;Mosquée historique dans la Kasbah, connue pour son minaret massif.;free;0.5;morning;mosque,architecture,heritage;Respecter les zones d’accès.;
MARRA027;Heritage Museum;Marrakech;culture;Musée familial exposant bijoux, poteries et costumes traditionnels.;low;1;morning;jewelry,tradition,art;Très authentique.;
MARRA028;Henna Art Café;Marrakech;experience;Lieu artistique proposant henné naturel et café culturel.;low;1.5;afternoon;henna,cafe,art;Demander du henné 100% naturel.;
MARRA029;Fantasia Chez Ali;Marrakech;show;Spectacle marocain avec cavaliers, danse et dîner typique.;high;3;night;show,traditional,dinner;Réserver à l’avance.;
MARRA030;Kabash Square;Marrakech;culture;Place animée près des tombeaux saadiens.;free;1;afternoon;square,local,walk;Bon point de départ pour explorer la Kasbah.;
MARRA031;Zoco des Ferronniers;Marrakech;shopping;Souk spécialisé dans le fer forgé et les lanternes.;low;1.5;afternoon;lanterns,craft,metal;Négocier gentiment.;
MARRA032;Souk Haddadine;Marrakech;shopping;Marché des forgerons traditionnels.;low;1;afternoon;metal,craft,tools;Attention aux étincelles.;
MARRA033;Souk Kimakhine;Marrakech;shopping;Souk des instruments de musique traditionnels.;low;1;morning;music,instruments,craft;Tester les instruments avant l'achat.;
MARRA034;Souk Zrabi;Marrakech;shopping;Souk des tapis berbères et orientaux.;medium;1.5;afternoon;carpet,berber,shopping;Beaucoup de choix : comparer avant d’acheter;
MARRA035;Souk Fekharine;Marrakech;shopping;Marché spécialisé en poterie.;low;1;morning;pottery,craft,traditional;Emballer soigneusement.;
MARRA036;Souk Sebbaghine;Marrakech;shopping;Souk des teinturiers, célèbre pour ses bains colorés.;low;1;afternoon;colors,photo,traditional;Meilleur moment : lumière du matin.;
MARRA037;Place des Épices;Marrakech;shopping;Petite place dédiée aux épices et produits naturels.;low;1;morning;spices,market,aromas;Éviter la foule à midi.;
MARRA038;Café des Épices;Marrakech;food;Café emblématique avec rooftop sur la place.;medium;1;sunset;cafe,view,rooftop;Très fréquenté en fin de journée.;
MARRA039;Nomad Restaurant;Marrakech;food;Restaurant moderne avec vue panoramique sur la médina.;high;1.5;sunset;restaurant,view,modern;Réserver si possible.;
MARRA040;Le Jardin Café;Marrakech;food;Café entouré de plantes, ambiance très calme.;medium;1;afternoon;cafe,garden,chill;Bon pour une pause fraîche.;
MARRA041;La Mamounia Gardens;Marrakech;luxe;Jardins de l’hôtel mythique La Mamounia.;medium;1.5;afternoon;luxury,nature,iconic;Entrée payante pour les jardins.;
MARRA042;Palmeraie de Marrakech;Marrakech;nature;Vaste palmeraie où faire du quad ou du dromadaire.;high;2;afternoon;nature,quad,camel;Porter des lunettes contre la poussière.;
MARRA043;Oasiria Water Park;Marrakech;loisirs;Grand parc aquatique idéal pour familles.;high;4;afternoon;waterpark,fun,family;Prévoir de la crème solaire.;
MARRA044;Terres d’Amanar;Marrakech;adventure;Parc d’aventure avec tyroliennes et activités nature.;high;4;morning;zipline,adventure,nature;Chaussures fermées conseillées.;
MARRA045;Atlas Mountains Day Trip;Marrakech;excursion;Excursion vers les villages berbères et montagnes.;high;8;morning;atlas,excursion,nature;Partir tôt pour la fraîcheur.;
MARRA046;Ourika Valley;Marrakech;excursion;Vallée verdoyante avec cascades et villages berbères.;medium;6;morning;waterfall,nature,berber;Chaussures antidérapantes.;
MARRA047;Oukaimeden;Marrakech;excursion;Station de ski la plus haute d’Afrique.;high;6;morning;ski,mountain,adventure;Vérifier la météo avant.;
MARRA048;Desert d’Agafay;Marrakech;experience;Désert rocheux idéal pour activités et dîners.;high;5;sunset;desert,camel,quad;Meilleur moment : coucher du soleil.;
MARRA049;Bahia Palace Gardens;Marrakech;culture;Jardins intérieurs du palais Bahia.;low;1;afternoon;garden,architecture;Très calme.;
MARRA050;Caravane Café;Marrakech;food;Restaurant artistique avec ambiance unique.;medium;1.5;night;restaurant,art,music;Ambiance animée le soir.;
MARRA051;Chez Chegrouni;Marrakech;food;Restaurant traditionnel économique sur Jemaa el-Fna.;low;1.5;evening;food,local,cheap;Bon rapport qualité/prix.;
MARRA052;Café Argana Rooftop;Marrakech;food;Café légendaire avec vue sur Jemaa el-Fna.;medium;1;evening;view,rooftop,iconic;Toujours beaucoup de monde.;
MARRA053;Riad Enchanté Rooftop;Marrakech;view;Rooftop calme avec belle vue sur la médina.;medium;1;sunset;view,relax,cafe;Parfait pour des photos.;
MARRA054;Maison Tiskiwin Terrace;Marrakech;view;Terrasse panoramique du musée Tiskiwin.;low;0.5;morning;view,panorama,quiet;Prendre une boisson fraîche.;
MARRA055;Medina Tanneries Viewpoint;Marrakech;photo;Point de vue sur les tanneries traditionnelles.;free;0.3;morning;photo,tannery,local;Apporter un foulard pour l'odeur.;
MARRA056;Majorelle Street Art Wall;Marrakech;photo;Mur coloré parfait pour photos près du Jardin Majorelle.;free;0.2;afternoon;streetart,photo,color;Meilleure lumière l’après-midi.;
MARRA057;Guéliz Art District;Marrakech;culture;Quartier moderne plein de galeries d’art.;free;2;afternoon;art,gallery,modern;Explorer à pied.;
MARRA058;Carré Eden Mall;Marrakech;shopping;Centre commercial moderne avec boutiques et restaurants.;medium;2;afternoon;shopping,modern,mall;Bon pour la climatisation en été.;
MARRA059;PLM Guéliz Building;Marrakech;architecture;Bâtiment historique art déco de Guéliz.;free;0.5;morning;architecture,artdeco,history;Photo spot discret.;
MARRA060;Station de Train ONCF Guéliz;Marrakech;architecture;Belle gare moderne en marbre et verre.;free;0.5;afternoon;architecture,modern,travel;Spot photo populaire.;
MARRA061;Théâtre Royal de Marrakech;Marrakech;culture;""Grand théâtre prestigieux, parfois ouvert aux visites.;low;1;afternoon;theatre,art,architecture;Vérifier les horaires.;
MARRA062;Ménara Mall;Marrakech;shopping;Centre commercial moderne proche de l'aérodrome.;medium;2;evening;shopping,food,mall;Fréquenté le week-end.;
MARRA063;Food Court Ménara Mall;Marrakech;food;Espace de restauration variée à prix moyens.;medium;1;evening;food,family,casual;Bon choix pour les groupes.;
MARRA064;La Perle Sky Lounge;Marrakech;nightlife;Bar rooftop luxueux avec vue sur la ville.;high;2;night;rooftop,nightlife,luxury;Tenue correcte exigée.;
MARRA065;555 Famous Club;Marrakech;nightlife;Club réputé avec DJs internationaux.;high;3;night;club,music,party;Réserver une table avant.;
MARRA066;Comptoir Darna;Marrakech;nightlife;Restaurant et bar animé avec danse orientale.;high;2.5;night;restaurant,show,party;Ambiance festive garantie.;
MARRA067;Lotus Club;Marrakech;nightlife;Dîner-spectacle célèbre avec danseuses.;high;3;night;show,restaurant,nightlife;Ambiance chic.;
MARRA068;Hivernage District;Marrakech;nightlife;Quartier des clubs et hôtels de luxe.;free;2;night;luxury,nightlife,walk;Circulation dense le soir.;
MARRA069;Avenue Mohammed VI Walk;Marrakech;walk;Grande avenue moderne parfaite pour balade.;free;1;evening;walk,modern,relax;Profiter au coucher du soleil.;
MARRA070;Mall Al Mazar;Marrakech;shopping;Grand centre commercial proche d’Agdal.;medium;2;afternoon;shopping,mall,family;Parking facile.;
MARRA071;Amelkis Golf Club;Marrakech;sport;Terrain de golf de luxe face à l’Atlas.;high;4;morning;golf,luxury,sport;Réserver le relai.;
MARRA072;Atlas Golf Marrakech;Marrakech;sport;Golf moderne au cœur des palmiers.;high;4;morning;golf,nature,sport;Calme exceptionnel.;
MARRA073;Palmeraie Golf Palace;Marrakech;sport;Golf 27 trous dans la Palmeraie.;high;4;morning;golf,luxury,nature;Parfait pour des joueurs expérimentés.;
MARRA074;Piscine Majorelle Club;Marrakech;loisirs;Piscine privée moderne idéale en été.;medium;3;afternoon;pool,relax,summer;Apporter une serviette.;
MARRA075;Spa Les Bains de Marrakech;Marrakech;spa;Spa emblématique avec hammam traditionnel.;high;2;afternoon;spa,relax,hammam;Réserver.;
MARRA076;Spa Royal Mansour;Marrakech;spa;L’un des spas les plus luxueux au monde.;very_high;2;afternoon;spa,luxury,wellness;Prix élevé.;
MARRA077;Spa Mamounia;Marrakech;spa;Spa mythique de l’hôtel La Mamounia.;very_high;2;afternoon;spa,luxury,hammam;Expérience premium.;
MARRA078;Hammam Ziani;Marrakech;spa;Hammam populaire à prix accessible.;low;1.5;afternoon;hammam,local,relax;Très fréquenté.;
MARRA079;Hammam Mouassine;Marrakech;spa;Hammam traditionnel dans la médina.;low;1;evening;hammam,traditional,local;Apporter du savon noir;
MARRA080;Hammam Dar El Bacha;Marrakech;spa;Hammam luxueux dans le quartier Dar El Bacha.;medium;1.5;afternoon;hammam,luxury,relax;Réserver en haute saison.;
MARRA081;Tanjia Restaurant;Marrakech;food;Restaurant traditionnel spécialisé en tanjia.;medium;1.5;evening;food,local,traditional;Bonne option pour des spécialités.;
MARRA082;Al Fassia Restaurant;Marrakech;food;Restaurant réputé tenu par des femmes.;high;1.5;evening;food,local,famous;Réserver tôt.;
MARRA083;Café Clock;Marrakech;food;Café culturel moderne avec concerts et ateliers.;medium;1.5;evening;cafe,culture,music;Tester le camel burger.;
MARRA084;Ksar Essaoussan;Marrakech;food;Restaurant traditionnel dans un riad élégant.;medium;2;evening;restaurant,traditional,romantic;Ambiance intime.;
MARRA085;Entrepotes Guéliz;Marrakech;food;Restaurant populaire avec fusion marocaine.;medium;1.5;night;food,casual,modern;Très demandé le week-end.;
MARRA086;McDonald's Guéliz;Marrakech;food;Fast-food classique en centre-ville.;low;1;afternoon;fastfood,casual,quick;Toujours du monde.;
MARRA087;KFC Marrakech;Marrakech;food;Fast-food international fréquenté par jeunes.;low;1;afternoon;fastfood,casual,cheap;Attente possible.;
MARRA088;Starbucks Guéliz;Marrakech;cafe;Chaîne internationale avec Wi-Fi.;medium;1;afternoon;cafe,modern,work;Idéal pour travailler.;
MARRA089;Paul Bakery Marrakech;Marrakech;cafe;Boulangerie française haut de gamme.;medium;1;morning;baker,ycafe,french;Très bon pour les petits-déjeuners.;
MARRA090;Amoud Pâtisserie;Marrakech;cafe;Pâtisserie marocaine et française.;low;0.5;morning;pastry,cafe,sweets;Parfait pour une petite pause.;
MARRA091;French Institute Marrakech;Marrakech;culture;Institut culturel avec bibliothèque et expositions.;low;1.5;afternoon;culture,library,art;Calme et climatisé.;
MARRA092;Cactus Thiemann Farm;Marrakech;nature;L'une des plus grandes fermes de cactus au monde.;medium;2;morning;cactus,nature,unique;Prendre un chapeau et de l'eau.;
MARRA093;Oliveraie Park;Marrakech;nature;Grand parc d'oliviers pour promenade.;free;1.5;afternoon;nature,park,walk;Très agréable en hiver.;
MARRA094;Arsat Nakhil Park;Marrakech;nature;Parc récent avec espaces verts et marche.;free;1;afternoon;park,nature,family;Peu fréquenté donc calme.;
MARRA095;Arsat Moulay Bouchaib;Marrakech;nature;Petit jardin local dans la médina.;free;0.5;morning;garden,local,quiet;Court arrêt.;
MARRA096;Desert Dinner Agafay;Marrakech;experience;Dîner spectacle dans le désert d’Agafay.;high;4;sunset;desert,dinner,show;Réserver une navette.;
MARRA097;Lalla Takerkoust Lake;Marrakech;excursion;Lac artificiel populaire pour pique-niques.;medium;4;morning;lake,nature,relax;Bon pour un barbecue.;
MARRA098;Quad Lalla Takerkoust;Marrakech;adventure;Balade quad autour du lac.;medium;2;afternoon;quad,adventure,lake;Porter lunettes et foulard.;
MARRA099;Marrakech Camel Ride;Marrakech;adventure;Balade en dromadaire dans la palmeraie.;medium;1.5;afternoon;camel,adventure,palmeraie;Bon pour des photos.;
MARRA100;Bab El Khemis Market;Marrakech;shopping;Grand marché aux puces de Marrakech, antiquités et meubles.;low;2;morning;market,antiques,local;Meilleur jour : jeudi.;
MARRA101;Le Jardin Secret;Marrakech;nature;Un jardin traditionnel restauré, avec une atmosphère paisible et des fontaines.;medium;1.5;morning;garden,quiet,relax;Idéal pour échapper à la foule.;
MARRA102;Musee de la Palmeraie;Marrakech;culture;Petit musée avec exposition sur la Palmeraie et son histoire.;low;1;morning;museum,history,local;Parfait pour une visite courte.;
MARRA103;Palais de la Bahia;Marrakech;culture;Palais du XIXe siècle célèbre pour son architecture et ses jardins.;medium;2;morning;palace,architecture,garden;Arriver tôt pour éviter les foules.;
MARRA104;Musée des Confluences;Marrakech;culture;Musée consacré à l’art et la culture du Maroc.;medium;1.5;afternoon;museum,art,history;Vérifier les horaires de visite.;
MARRA105;Riad Yasmine;Marrakech;view;Rooftop avec piscine et vue panoramique sur la médina.;high;1;sunset;view,rooftop,pool;Parfait pour des photos au coucher du soleil.;
MARRA106;Place des Ferblantiers;Marrakech;shopping;Petit marché artisanal spécialisé dans le travail du métal.;low;1;morning;market,craft,metal;Négocier les prix.;
MARRA107;Souk des Bijoutiers;Marrakech;shopping;Souk où l’on trouve des bijoux traditionnels en argent.;medium;1.5;afternoon;jewelry,silver,craft;Vérifier la qualité de l’argent.;
MARRA108;Souk des Teinturiers;Marrakech;shopping;Ancien souk où l’on peut voir les teintures traditionnelles.;low;1;afternoon;textile,tradition,craft;Apporter un foulard pour l’odeur.;
MARRA109;Souk Smarine;Marrakech;shopping;Souk central avec vêtements traditionnels et artisanat.;low;1.5;afternoon;market,clothes,traditional;Négocier les prix.;
MARRA110;Souk Cherratine;Marrakech;shopping;Marché des maroquiniers, sacs et chaussures en cuir.;medium;1.5;afternoon;leather,craft,shopping;Vérifier la qualité des articles.;
MARRA111;Jemaa el-Fna Food Stalls;Marrakech;food;Stands de nourriture traditionnelle sur la place principale.;low;2;evening;food,street,local;Goûter aux spécialités locales.;
MARRA112;Nomad Restaurant;Marrakech;food;Restaurant moderne sur une terrasse avec vue sur la médina.;high;1.5;sunset;restaurant,view,modern;Réserver pour le coucher du soleil.;
MARRA113;Café des Épices;Marrakech;food;Petit café avec terrasse et spécialités marocaines.;medium;1;afternoon;cafe,local,food;Idéal pour une pause.;
MARRA114;Le Salama;Marrakech;food;Restaurant avec cuisine marocaine et internationale.;medium;1.5;evening;restaurant,food,international;Ambiance animée le soir.;
MARRA115;Riad Kniza;Marrakech;luxe;Riad historique avec restaurant gastronomique.;high;2;evening;luxury,riad,food;Réserver pour un dîner romantique.;
MARRA116;La Mamounia Gardens;Marrakech;nature;Jardins luxueux de l’hôtel La Mamounia.;medium;1.5;afternoon;garden,luxury,relax;Entrée payante pour les visiteurs.;
MARRA117;Palmeraie Quad Adventures;Marrakech;adventure;Balades en quad à travers la palmeraie.;medium;2;afternoon;adventure,quad,nature"";Porter des lunettes et un foulard.;
MARRA118;Agdal Gardens;Marrakech;nature;Grands jardins historiques de Marrakech.;free;2;morning;garden,history,walk;Idéal pour une promenade tranquille.;
MARRA119;Menara Gardens;Marrakech;nature;Parc avec grand bassin et oliviers, superbe au coucher du soleil.;free;1.5;sunset;garden,walk,nature;Apporter un appareil photo.;
MARRA120;Oasiria Water Park;Marrakech;loisirs;Parc aquatique pour toute la famille.;high;4;afternoon;waterpark,family,fun;Prévoir de la crème solaire et un maillot.;
MARRA121;Terres d’Amanar;Marrakech;adventure;Parc d’aventure avec tyroliennes et activités nature.;high;4;morning;adventure,tyrolienne,nature;Chaussures fermées conseillées.;
MARRA122;Ourika Valley;Marrakech;excursion;Vallée verdoyante avec cascades et villages berbères.;medium;6;morning;nature,waterfall,berber;Porter des chaussures adaptées.;
MARRA123;Oukaimeden;Marrakech;excursion;Station de ski la plus haute d’Afrique.;high;6;morning;ski,mountain,adventure;Vérifier la météo avant.;
MARRA124;Desert d’Agafay;Marrakech;experience;Désert rocheux avec balades à dos de chameau et dîner.;high;5;sunset;desert,camel,dinner;Meilleur moment : coucher du soleil.;
MARRA125;Bab Agnaou;Marrakech;histoire;Porte monumentale almohade ornée de décorations sculptées.;free;0.5;morning;gate,architecture,history;Arriver tôt pour des photos sans foule.;
MARRA126;Bab Doukkala;Marrakech;histoire;Ancienne porte de la ville avec architecture remarquable.;free;0.5;morning;gate,history,architecture;Bon spot photo.;
MARRA127;Saadian Tombs;Marrakech;histoire;Tombeaux royaux décorés du XVIe siècle.;medium;1;afternoon;tombs,history,royal;Eviter midi pour moins de monde.;
MARRA128;Musée de Marrakech;Marrakech;culture;Palais rénové abritant collections d’art marocain.;medium;1.5;afternoon;museum,art,history;Parfait pour photos architecturales.;
MARRA129;Dar Si Said Museum;Marrakech;culture;Palais historique avec expositions d’arts traditionnels marocains.;medium;2;morning;museum,art,traditional;Visite recommandée le matin.;
MARRA130;Medersa Ben Youssef;Marrakech;culture;Ancienne école coranique célèbre pour son architecture.;medium;1.5;morning;architecture,history,school;Très photogénique.;
MARRA131;Musée Yves Saint Laurent;Marrakech;culture;Musée de mode et art moderne.;high;1;morning;fashion,art,modern;Réserver les billets à l’avance.;
MARRA132;Jardin Majorelle;Marrakech;culture;Jardin botanique iconique autrefois propriété d’Yves Saint Laurent.;medium;2;morning;garden,photo,famous;Arriver tôt pour éviter la foule.;
MARRA133;Riad Yima;Marrakech;view;Rooftop avec piscine et vue sur la médina.;high;1;sunset;view,rooftop,pool;Photos au coucher du soleil.;
MARRA134;Maison de la Photographie;Marrakech;culture;Expositions de photographies anciennes sur le Maroc.;medium;1.5;afternoon;museum,photo,history;Vue rooftop à la fin.;
MARRA135;Cyber Park Arsat Moulay Abdeslam;Marrakech;nature;Grand parc ombragé avec Wi-Fi.;free;1.5;afternoon;park,nature,relax;Idéal pour une pause fraîche.;
MARRA136;Jardin Secret;Marrakech;nature;Jardin restauré au cœur de la médina.;medium;1.5;afternoon;garden,architecture,calm;Endroit parfait pour se reposer.;
MARRA137;Menara Mall;Marrakech;shopping;Centre commercial moderne avec boutiques et restaurants.;medium;2;afternoon;shopping,modern,mall;Bon pour climatisation en été.;
MARRA138;Al Mazar Mall;Marrakech;shopping;Grand centre commercial proche d’Agdal.;medium;2;afternoon;shopping,mall,family;Parking facile.;
MARRA139;Palmeraie Golf Palace;Marrakech;sport;Golf 27 trous dans la Palmeraie.;high;4;morning;golf,luxury,nature;Parfait pour joueurs expérimentés.;
MARRA140;Atlas Golf Marrakech;Marrakech;sport;Golf moderne au cœur des palmiers.;high;4;morning;golf,nature,sport;Calme exceptionnel.;
MARRA141;Amelkis Golf Club;Marrakech;sport;Terrain de golf de luxe face à l’Atlas.;high;4;morning;golf,luxury,sport;Réserver relai.;
MARRA142;Piscine Majorelle Club;Marrakech;loisirs;Piscine privée moderne idéale en été.;medium;3;afternoon;pool,relax,summer;Apporter une serviette.;
MARRA143;Spa Les Bains de Marrakech;Marrakech;spa;Spa emblématique avec hammam traditionnel.;high;2;afternoon;spa,relax,hammam;Réserver.;
MARRA144;Spa Royal Mansour;Marrakech;spa;L’un des spas les plus luxueux au monde.;very_high;2;afternoon;spa,luxury,wellness;Prix élevé.;
MARRA145;Hammam Ziani;Marrakech;spa;Hammam populaire à prix accessible.;low;1.5;afternoon;hammam,local,relax;Très fréquenté.;
MARRA146;Hammam Mouassine;Marrakech;spa;Hammam traditionnel dans la médina.;low;1;evening;hammam,traditional,local;Apporter du savon noir.;
MARRA147;Hammam Dar El Bacha;Marrakech;spa;Hammam luxueux dans le quartier Dar El Bacha.;medium;1.5;afternoon;hammam,luxury,relax;Réserver en haute saison.;
MARRA148;La Perle Sky Lounge;Marrakech;nightlife;Bar rooftop luxueux avec vue sur la ville.;high;2;night;rooftop,nightlife,luxury;Tenue correcte exigée.;
MARRA149;555 Famous Club;Marrakech;nightlife;Club réputé avec DJs internationaux.;high;3;night;club,music,party;Réserver une table avant.;
MARRA150;Comptoir Darna;Marrakech;nightlife;Restaurant et bar animé avec danse orientale.;high;2.5;night;restaurant,show,party;Ambiance festive garantie.;
MARRA151;Lotus Club;Marrakech;nightlife;Dîner-spectacle célèbre avec danseuses.;high;3;night;show,restaurant,nightlife;Ambiance chic.;
MARRA152;Hivernage District;Marrakech;nightlife;Quartier des clubs et hôtels de luxe.;free;2;night;luxury,nightlife,walk;Circulation dense le soir.;
MARRA153;Avenue Mohammed VI Walk;Marrakech;walk;Grande avenue moderne parfaite pour balade.;free;1;evening;walk,modern,relax;Profiter au coucher du soleil.;
MARRA154;Medina Tanneries Viewpoint;Marrakech;photo;Point de vue sur les tanneries traditionnelles.;free;0.3;morning;photo,tannery,local;Apporter un foulard pour odeur.;
MARRA155;Majorelle Street Art Wall;Marrakech;photo;Mur coloré parfait pour photos près du Jardin Majorelle.;free;0.2;afternoon;streetart,photo,color;Meilleure lumière l’après-midi.;
MARRA156;Guéliz Art District;Marrakech;culture;Quartier moderne plein de galeries d’art.;free;2;afternoon;art,gallery,modern;Explorer à pied.;
MARRA157;Station de Train ONCF Guéliz;Marrakech;architecture;Belle gare moderne en marbre et verre.;free;0.5;afternoon;architecture,modern,travel;Spot photo populaire.;
MARRA158;PLM Guéliz Building;Marrakech;architecture;Bâtiment historique art déco de Guéliz.;free;0.5;morning;architecture,artdeco,history;Photo spot discret.;
MARRA159;Théâtre Royal de Marrakech;Marrakech;culture;Grand théâtre prestigieux, parfois ouvert aux visites.;low;1;afternoon;theatre,art,architecture;Vérifier horaires.;
MARRA160;Riad Kniza Rooftop;Marrakech;view;Rooftop calme avec belle vue sur la médina.;medium;1;sunset;view,relax,cafe;Parfait pour des photos.;
MARRA161;Riad Dar Anika Rooftop;Marrakech;view;Terrasse sur la médina avec ambiance cosy.;medium;1;sunset;view,relax,photography;Très photogénique au coucher du soleil.;
MARRA162;Riad Be Marrakech Rooftop;Marrakech;view;Terrasse avec piscine et vue sur les toits de Marrakech.;medium;1;sunset;view,relax,photo;Parfait pour un apéritif.;
MARRA163;Le Salama Gardens;Marrakech;nature;Jardin avec ambiance lounge et repas sur place.;medium;1.5;afternoon;garden,relax,food;Ambiance relaxante.;
MARRA164;Jardin Anima;Marrakech;nature;Jardin artistique et contemporain.;medium;2;afternoon;garden,art,relax;Endroit calme et photogénique.;
MARRA165;Riad Kniza Hammam;Marrakech;spa;Hammam luxueux avec massage traditionnel.;high;2;afternoon;hammam,spa,relax;Réserver à l’avance.";
MARRA166;Spa Les Bains de Marrakech;Marrakech;spa;Spa avec massages et soins traditionnels.;high;2;afternoon;spa,hammam,relax;Très fréquenté le weekend.;
MARRA167;Hammam Ziani;Marrakech;spa;Hammam populaire, expérience locale.;low;1.5;afternoon;hammam,local,relax;Prix accessible.;
MARRA168;Hammam Mouassine;Marrakech;spa;Hammam traditionnel dans la médina.;low;1;evening;hammam,traditional,local;Apporter du savon noir.;
MARRA169;Hivernage Rooftop Bars;Marrakech;nightlife;Bars rooftop avec ambiance chic.;high;2;night;rooftop,nightlife,drink;Parfait pour cocktails.;
MARRA170;Comptoir Darna;Marrakech;nightlife;Restaurant et bar avec danse orientale.;high;2.5;night;restaurant,show,party;Réserver pour le spectacle.;
MARRA171;555 Club;Marrakech;nightlife;Club avec DJs internationaux et ambiance festive.;high;3;night;club,music,party;Tenue correcte exigée.;
MARRA172;Lotus Club;Marrakech;nightlife;Dîner-spectacle marocain.;high;3;night;show,restaurant,nightlife;Ambiance chic.;
MARRA173;Place Jemaa el-Fna;Marrakech;culture;La place centrale animée jour et nuit.;low;2;evening;market,streetfood,local;Sécuriser vos affaires.;
MARRA174;Bab Doukkala Market;Marrakech;shopping;Marché local de produits frais et artisanat.;low;1.5;morning;market,local,food;Très authentique.;
